honest_proportion,round,total_honest_effective_balance,alpha,sum_balance_honest,sum_balance_all
0.8300000000000005,99,950,-0.9316316021140665,3193.4336216835964,3829.5258780876334
0.8100000000000005,100,909,-1.0070459020789713,3125.541924830888,3871.003860473653
0.7800000000000005,101,888,-1.0778348518069834,3026.586620265193,3908.996291948097
0.7400000000000004,102,926,-1.1416417954023927,2960.3546487919643,3944.025940301567
0.7800000000000005,103,887,-1.1960622703190893,3132.527330558262,3982.306208294097
0.7600000000000005,104,937,-1.2598692139144987,3025.431711938683,4017.978525487702
0.7900000000000005,105,909,-1.3189935458358377,3229.619775405425,4056.9254624220566
0.7700000000000005,106,960,-1.385133541887626,3154.4023356372554,4093.561331576446
0.7900000000000005,107,1014,-1.4466019009705633,3348.9304510739544,4132.924926430982
0.8500000000000005,108,1028,-1.5127418970223516,3586.6026032175964,4177.79306174869
0.8800000000000006,109,1067,-1.5927570646163076,3698.3938653854734,4224.212502594763
0.9100000000000006,110,1019,-1.6796256785746664,3895.197826816517,4273.948637967878
0.8900000000000006,111,1068,-1.7732878958340734,3774.957366894639,4320.25895464043
0.9000000000000006,112,1012,-1.8624278118368238,3959.1582582897972,4369.062995066775
0.8700000000000006,113,1027,-1.9538323094602674,3807.0703969425276,4413.564046278446
0.8900000000000006,114,955,-2.0384229456540197,3920.1177845779225,4459.536227833236
0.8000000000000005,115,821,-2.12756286165677,3632.863095249942,4497.6660449161
0.7000000000000004,116,765,-2.1960302328225225,3194.315436909199,4526.044822129381
0.6400000000000003,117,799,-2.24098328105174,2937.490793375078,4550.305520869142
0.6600000000000004,118,751,-2.271601697197184,3090.6738666020433,4576.408443384665
0.6500000000000004,119,815,-2.3070146979298443,2951.0011403887816,4600.14719078545
0.6700000000000004,120,847,-2.3400323332753032,3199.3204448398506,4626.844944874002
0.7100000000000004,121,946,-2.3778366872575134,3363.298822902274,4656.383083773747
0.8000000000000005,122,940,-2.42516372888349,3766.885283611369,4693.345058858535
0.7900000000000005,123,892,-2.4936311000492424,3799.816567161645,4729.630368839664
0.7700000000000005,124,899,-2.5597710961010307,3610.885589142044,4762.821998745202
0.7800000000000005,125,898,-2.621239455183968,3709.6322588884377,4796.75681041607
0.7600000000000005,126,950,-2.6850463987793773,3684.7400481114405,4829.69884583248
0.8100000000000005,127,1046,-2.7441707307007164,3939.916734503606,4866.633165312304
0.8800000000000006,128,1051,-2.8149596804287285,4359.43962519613,4910.458922942096
0.8900000000000006,129,1027,-2.9018282943870872,4422.508604650748,4954.96230973994
0.8800000000000006,130,1039,-2.9909682103898376,4383.0258933951845,4997.862806153621
0.8800000000000006,131,1061,-3.0778368243481964,4431.997612495045,5041.118702502629
0.9000000000000006,132,1090,-3.164705438306555,4594.757193353031,5086.145108997801
0.9200000000000006,133,1097,-3.2561099359299988,4762.521763265514,5133.045075790437
0.9300000000000006,134,1139,-3.3520229214336723,4837.574092053302,5180.619045149106
0.9700000000000006,135,1117,-3.45017965673469,5084.437246339419,5231.959904469957
0.9600000000000006,136,1090,-3.5572391950991005,5042.548330662665,5281.574261949103
0.9400000000000006,137,1136,-3.6620840260293335,4958.894686207652,5328.859180682334
0.9600000000000006,138,1146,-3.762477380922064,5196.561036649031,5378.825868271124
0.9800000000000006,139,1151,-3.867322211852297,5298.053304726993,5430.162286418702
0.9800000000000006,140,1137,-3.9765889847185463,5378.525719439357,5481.403414251112
0.9700000000000006,141,1121,-4.085855757584795,5366.724503205659,5531.114333493252
0.9500000000000006,142,1103,-4.192915295949206,5325.04741309482,5579.074850372055
0.9300000000000006,143,1123,-4.29553803591989,5277.563447215189,5625.210221816373
0.9500000000000006,144,1095,-4.393694771220908,5412.821829383487,5672.7805829066565
0.9400000000000006,145,1068,-4.496317511191592,5351.196868943897,5718.437148745455
0.9100000000000006,146,1110,-4.596710866084322,5243.794225780538,5761.363210349441
0.9400000000000006,147,1094,-4.690373083343729,5497.111775095054,5807.113253503982
0.9300000000000006,148,1103,-4.79076643823646,5463.7860156367105,5851.587742111686
0.9300000000000006,149,1069,-4.888923173537478,5541.477396757903,5896.391355669373
0.9200000000000006,150,1079,-4.987079908838496,5432.337013651677,5939.100783628336
0.9100000000000006,151,1073,-5.082992894342169,5495.507632238907,5981.829970076045
0.9100000000000006,152,1012,-5.176655111601576,5508.9899701908835,6024.032705600448
0.8800000000000006,153,1048,-5.270317328860983,5274.4306631437885,6062.56229112493
0.8900000000000006,154,1082,-5.357185942819342,5450.329773059102,6102.663035430103
0.9200000000000006,155,1064,-5.446325858822092,5679.557993912701,6145.262746874123
0.9100000000000006,156,1043,-5.542238844325766,5620.505863552423,6186.484061341146
0.9000000000000006,157,1074,-5.635901061585173,5551.04936959756,6226.401189425343
0.9100000000000006,158,1077,-5.727305559208617,5744.379961847824,6267.9714677808215
0.9200000000000006,159,1028,-5.820967776468024,5803.764347746413,6309.675942365987
0.8800000000000006,160,984,-5.916880761971697,5558.067048307516,6347.73043062177
0.8300000000000005,161,1069,-6.003749375930056,5347.932152281352,6382.087768514242
0.9100000000000006,162,1125,-6.079163675894961,5844.7255699867665,6422.759161159105
0.9600000000000006,163,1140,-6.172825893154368,6202.404514040232,6467.930914374189
0.9700000000000006,164,1111,-6.277670724084601,6340.834539852373,6513.954790036998
0.9500000000000006,165,1140,-6.384730262449011,6217.528905134399,6557.548942854089
0.9700000000000006,166,1128,-6.487353002419695,6420.974666089336,6603.085056129454
0.9700000000000006,167,1135,-6.594412540784106,6406.705415276187,6648.117709513439
0.9600000000000006,168,1141,-6.701472079148516,6465.919915907134,6692.813064139984
0.9700000000000006,169,1119,-6.806316910078749,6569.112268828144,6737.926694874773
0.9500000000000006,170,1112,-6.9133764484431595,6481.4492684529905,6781.235754580907
0.9600000000000006,171,1108,-7.0159991884138435,6492.302963615871,6824.518272569677
0.9300000000000006,172,1075,-7.1208440193440765,6484.727784749997,6866.292520910272
0.9200000000000006,173,1070,-7.219000754645094,6339.418582499362,6906.159363901016
0.9200000000000006,174,1024,-7.314913740148768,6335.823612915873,6945.755983857763
0.8700000000000006,175,1051,-7.410826725652441,6094.474373075141,6981.383034724331
0.8900000000000006,176,1061,-7.495417361846194,6296.461486244888,7018.8291160153285
0.8900000000000006,177,1059,-7.584557277848944,6382.885549049388,7056.533709534021
0.9000000000000006,178,1048,-7.6736971938516945,6407.444049624678,7094.518433710176
0.9000000000000006,179,1052,-7.765101691475138,6381.396162884096,7131.943208248458
0.9000000000000006,180,1047,-7.856506189098582,6438.50737833584,7169.474809587684
0.9000000000000006,181,1063,-7.947910686722025,6458.841541585612,7206.698118766801
0.9100000000000006,182,1068,-8.039315184345469,6583.675302289103,7244.816546538518
0.9000000000000006,183,1077,-8.132977401604876,6624.044282122234,7282.443216429127
0.9200000000000006,184,1078,-8.22438189922832,6726.272609810843,7321.288980589727
0.9200000000000006,185,1132,-8.320294884731993,6758.219176873501,7359.975103891591
0.9700000000000006,186,1141,-8.416207870235667,7158.6244191391015,7402.7495360502235
0.9700000000000006,187,1137,-8.523267408600077,7246.245186676906,7445.645417859605
0.9700000000000006,188,1160,-8.630326946964487,7266.5851944402875,7488.298115301991
0.9900000000000007,189,1155,-8.737386485328898,7452.872747974716,7532.659943795697
0.9900000000000007,190,1146,-8.84885293035768,7468.304265861433,7576.698461614476
0.9800000000000006,191,1140,-8.960319375386462,7451.450112518501,7620.049869044299
0.9900000000000007,192,1106,-9.06958614825271,7474.557503628366,7663.326199412935
0.9500000000000006,193,1117,-9.181052593281493,7274.7538532676035,7703.33528614662
0.9500000000000006,194,1146,-9.283675333252177,7388.955319304255,7743.663824824977
0.9800000000000006,195,1131,-9.38629807322286,7617.156544707718,7786.289181858961
0.9600000000000006,196,1161,-9.49556484608911,7546.617847900811,7827.473247639685
0.9900000000000007,197,1172,-9.600409677019343,7800.81073123934,7870.933239693808
1.0000000000000007,198,1172,-9.711876122048125,7915.194129238046,7915.194129238046
1.0000000000000007,199,1172,-9.82553462474607,7959.3634095146,7959.3634095146
1.0000000000000007,200,1172,-9.939193127444014,8003.281062222261,8003.281062222261
1.0000000000000007,201,1172,-10.052851630141959,8047.07805107431,8047.07805107431
1.0000000000000007,202,1172,-10.166510132839903,8090.787741987455,8090.787741987455
1.0000000000000007,203,1172,-10.280168635537848,8134.37920433578,8134.37920433578
1.0000000000000007,204,1172,-10.393827138235793,8177.662447061396,8177.662447061396
1.0000000000000007,205,1172,-10.507485640933737,8221.021746065542,8221.021746065542
1.0000000000000007,206,1172,-10.621144143631682,8264.266551133398,8264.266551133398
1.0000000000000007,207,1172,-10.734802646329626,8307.492939391725,8307.492939391725
1.0000000000000007,208,1172,-10.848461149027571,8350.669806997825,8350.669806997825
1.0000000000000007,209,1172,-10.962119651725516,8393.388832925786,8393.388832925786
1.0000000000000007,210,1172,-11.07577815442346,8436.093152231993,8436.093152231993
1.0000000000000007,211,1172,-11.189436657121405,8478.877057579386,8478.877057579386
1.0000000000000007,212,1172,-11.30309515981935,8521.52166133118,8521.52166133118
1.0000000000000007,213,1172,-11.416753662517294,8563.99713847347,8563.99713847347
1.0000000000000007,214,1172,-11.530412165215239,8606.336083311744,8606.336083311744
1.0000000000000007,215,1172,-11.644070667913184,8648.57075634764,8648.57075634764
1.0000000000000007,216,1172,-11.757729170611128,8690.794922417714,8690.794922417714
1.0000000000000007,217,1172,-11.871387673309073,8732.762192916354,8732.762192916354
1.0000000000000007,218,1172,-11.985046176007017,8774.813092520622,8774.813092520622
1.0000000000000007,219,1172,-12.098704678704962,8816.732420827408,8816.732420827408
1.0000000000000007,220,1172,-12.212363181402907,8858.490740248957,8858.490740248957
1.0000000000000007,221,1172,-12.326021684100851,8900.119974220253,8900.119974220253
1.0000000000000007,222,1172,-12.439680186798796,8941.68221096159,8941.68221096159
1.0000000000000007,223,1172,-12.55333868949674,8982.539665028318,8982.539665028318
1.0000000000000007,224,1172,-12.666997192194685,9023.819780484018,9023.819780484018
1.0000000000000007,225,1172,-12.78065569489263,9064.975103137931,9064.975103137931
1.0000000000000007,226,1172,-12.894314197590575,9106.067092525956,9106.067092525956
1.0000000000000007,227,1172,-13.00797270028852,9147.126517629626,9147.126517629626
1.0000000000000007,228,1172,-13.121631202986464,9188.003504397788,9188.003504397788
1.0000000000000007,229,1172,-13.235289705684409,9228.819453436889,9228.819453436889
1.0000000000000007,230,1172,-13.348948208382353,9269.694680434739,9269.694680434739
1.0000000000000007,231,1172,-13.462606711080298,9310.419964979232,9310.419964979232
1.0000000000000007,232,1172,-13.576265213778242,9351.026286740469,9351.026286740469
1.0000000000000007,233,1172,-13.689923716476187,9391.633539942568,9391.633539942568
1.0000000000000007,234,1172,-13.803582219174132,9432.004577024769,9432.004577024769
1.0000000000000007,235,1172,-13.917240721872076,9472.496344093372,9472.496344093372
1.0000000000000007,236,1172,-14.030899224570021,9512.6946963838,9512.6946963838
1.0000000000000007,237,1172,-14.144557727267966,9552.896456055681,9552.896456055681
1.0000000000000007,238,1172,-14.25821622996591,9592.925290070514,9592.925290070514
1.0000000000000007,239,1172,-14.371874732663855,9632.929229044534,9632.929229044534
1.0000000000000007,240,1172,-14.4855332353618,9672.791431476659,9672.791431476659
1.0000000000000007,241,1172,-14.599191738059744,9712.717572893254,9712.717572893254
1.0000000000000007,242,1172,-14.712850240757689,9752.503223287302,9752.503223287302
1.0000000000000007,243,1172,-14.826508743455634,9792.207637325253,9792.207637325253
1.0000000000000007,244,1172,-14.940167246153578,9831.91863527631,9831.91863527631
1.0000000000000007,245,1172,-15.053825748851523,9871.375387733833,9871.375387733833
1.0000000000000007,246,1172,-15.167484251549467,9910.86895198983,9910.86895198983
1.0000000000000007,247,1172,-15.281142754247412,9950.283749259188,9950.283749259188
1.0000000000000007,248,1172,-15.394801256945357,9989.735691587966,9989.735691587966
1.0000000000000007,249,1172,-15.508459759643301,10029.109654100714,10029.109654100714
1.0000000000000007,250,1172,-15.622118262341246,10068.262708917822,10068.262708917822
1.0000000000000007,251,1172,-15.73577676503919,10107.339561167502,10107.339561167502
1.0000000000000007,252,1172,-15.849435267737135,10146.512382662151,10146.512382662151
1.0000000000000007,253,1172,-15.96309377043508,10185.35263835181,10185.35263835181
1.0000000000000007,254,1172,-16.076752273133025,10224.232716487197,10224.232716487197
1.0000000000000007,255,1172,-16.19041077583097,10263.067231820884,10263.067231820884
1.0000000000000007,256,1172,-16.304069278528914,10301.77144609323,10301.77144609323
1.0000000000000007,257,1172,-16.41772778122686,10340.487862560873,10340.487862560873
